"","Grid","effort_start","effort_end","hours","effort_hours","effort_secs"
"93","S86",2016-12-22 10:25:33,2017-01-29 13:17:20,914.863055555556,914.863055555556,3293507
"94","S87",2016-12-23 18:20:28,2017-01-15 12:25:00,546.075555555556,882.845277777778,3178243
"95","S87",2017-01-15 13:25:00,2017-01-29 14:11:11,336.769722222222,882.845277777778,3178243
"96","S88",2016-12-22 14:23:06,2017-01-29 14:30:04,912.116111111111,912.116111111111,3283618
"97","S89",2016-12-24 10:06:35,2017-01-29 14:41:58,868.589722222222,868.589722222222,3126923
"98","S90",2016-12-26 13:45:12,2017-01-18 21:01:00,559.263333333333,819.120833333333,2948835
"99","S90",2017-01-18 22:01:00,2017-01-29 17:52:27,259.8575,819.120833333333,2948835
"100","S91",2016-12-26 11:13:53,2017-01-29 17:44:09,822.504444444444,822.504444444444,2961016
"101","S92",2016-12-26 16:30:10,2017-01-29 17:30:54,817.012222222222,817.012222222222,2941244
"102","S97",2016-12-22 18:08:47,2017-01-29 14:01:00,907.870277777778,907.870277777778,3268333
"103","S98",2016-12-23 16:56:16,2017-01-30 12:20:46,907.408333333333,907.408333333333,3266670
"104","S99",2016-12-23 19:08:40,2017-01-05 18:14:42,311.100555555556,311.100555555556,1119962
"105","OUT 316",2018-01-16 12:59:34,2018-01-21 07:47:00,114.790555555556,590.258888888889,2124932
"106","OUT 316",2018-02-03 12:12:00,2018-02-11 11:40:00,191.466666666667,590.258888888889,2124932
"107","OUT 316",2018-02-11 12:40:00,2018-02-23 08:40:06,284.001666666667,590.258888888889,2124932
"108","OUT 317",2018-01-28 18:49:50,2018-02-23 08:52:58,614.052222222222,614.052222222222,2210588
"109","OUT 327",2018-01-16 15:02:20,2018-02-23 09:17:12,906.247777777778,906.247777777778,3262492
"110","OUT 328",2018-01-16 14:30:16,2018-02-23 09:05:10,906.581666666667,906.581666666667,3263694
"111","OUT 329",2018-01-16 16:33:03,2018-01-28 09:34:00,281.015833333333,894.267222222222,3219362
